"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Tennessee@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville","@Jacksonville"
"2","Indianapolis@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta","@Atlanta"
"3","Denver@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago","@Chicago"
"4","Oakland@Detroit","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland","Oakland"
"5","Dallas@Miami","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas","Dallas"
"6","Tampa Bay@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia","@Philadelphia"
"7","Washington@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina","@Carolina"
"8","St. Louis@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore","@Baltimore"
"9","N.Y. Jets@Houston","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets","N.Y. Jets"
"10","Kansas City@San Diego","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City","Kansas City"
"11","Green Bay@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota","@Minnesota"
"12","San Francisco@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle","@Seattle"
"13","Cincinnati@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona","@Arizona"
"14","Buffalo@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England","@New England"
