"","Order","Confidence","Victor","WinProbability","Game","FanProb","DogProb","FavConf","DogConf","Underdog","StraightFans","YahooOrder"
"1",1,3,"@N.Y. Jets",1e-05,"Buffalo@N.Y. Jets",0.74,0.26,4.4,3.6,"Buffalo",0.74,1
"2",2,14,"@Green Bay",0.792716786,"Detroit@Green Bay",0.99,0.01,12.3,3.9,"Detroit",0.99,2
"3",3,7,"Carolina",0.624269282,"Carolina@Tennessee",0.95,0.05,10,3.3,"@Tennessee",0.95,3
"4",4,12,"@St. Louis",0.700618248,"Chicago@St. Louis",0.86,0.14,7.2,3.4,"Chicago",0.88,4
"5",5,9,"@Philadelphia",0.675865883,"Miami@Philadelphia",0.9,0.1,7.2,3.8,"Miami",0.88,5
"6",6,6,"@Pittsburgh",0.672091953,"Cleveland@Pittsburgh",0.91,0.09,7.3,3.4,"Cleveland",0.91,6
"7",7,2,"@Tampa Bay",0.506019802,"Dallas@Tampa Bay",0.41,0.59,3.4,3.7,"Dallas",0.38,7
"8",8,1,"New Orleans",0.529923837,"New Orleans@Washington",0.81,0.19,6,3.2,"@Washington",0.83,8
"9",9,8,"@Baltimore",0.636502235,"Jacksonville@Baltimore",0.88,0.12,7.1,3.7,"Jacksonville",0.87,9
"10",10,4,"@Oakland",0.587168923,"Minnesota@Oakland",0.71,0.29,5,4.3,"Minnesota",0.7,10
"11",11,10,"@Denver",0.636498643,"Kansas City@Denver",0.96,0.04,9.6,4,"Kansas City",0.95,11
"12",12,11,"New England",0.717001614,"New England@N.Y. Giants",0.93,0.07,10.3,3.6,"@N.Y. Giants",0.9,12
"13",13,5,"@Seattle",0.587170319,"Arizona@Seattle",0.63,0.37,4.8,4,"Arizona",0.6,13
"14",14,13,"@Cincinnati",0.800300266,"Houston@Cincinnati",0.99,0.01,11.7,5,"Houston",0.98,14
